536	5412923
152	32386
136	32716
136	32872
136	32938
160	33093
136	32973
136	32983
136	33006
160	32911
136	33009
136	33012
136	33030
528	33015
136	32958
136	33093
136	32869
160	32946
136	33140
136	33013
136	33068
160	33198
136	33055
136	32837
136	33305
160	33320
136	32300
136	32869
136	33008
528	32952
136	33066
136	33024
136	32951
160	33039
136	32925
136	33071
136	34097
160	31817
136	33232
136	32772
136	32960
160	33428
136	32830
136	32923
136	33052
528	33186
136	32763
136	33022
136	55905
160	10160
136	32893
136	33188
136	32961
160	33058
136	33029
136	32753
136	33269
160	33982
136	31763
136	33267
136	32777
1480	441
1480	1011
1480	317
1480	1245
1480	505
1480	416
1480	383
1480	1367
1480	433
1480	408
1480	390
1480	334
1480	425
1480	415
1480	360
1480	1160
1480	2037
1480	2041
1480	2540
1480	418
1480	417
1480	598
1480	263
1480	912
1480	1714
1480	280
1480	1736
1480	2070
1480	237
1480	1704
1480	1972
1480	1983
1480	1984
1480	2091
704	13909
448	34066
1480	36976
1480	290
1480	2560
1480	2053
1480	968
1480	2007
488	20673
1480	1628
1480	250
1480	1917
1480	9018
1480	1566
1480	281
1480	1678
1480	1988
1480	2269
1480	1737
1480	2131
1480	283
1480	1618
1480	1952
1480	2009
1480	1984
1480	989
1480	1993
1480	2058
1480	442
1480	1502
1480	1076
1480	1956
1480	4241
1480	454
1480	1328
1480	4724
1480	275
1480	348
1480	577
1480	2042
1480	284
1480	455
1480	1753
1480	6747
1480	1727
1480	3473
1480	1545
1480	1972
1480	2014
1480	5515
1480	2760
1480	244
1480	2696
1480	1748
1480	2014
1480	1005
1480	2049
1480	251
1480	689
1480	8865
1480	124
1480	967
1480	2054
1480	1909
1480	979
1480	2000
1480	1012
1480	2111
1480	1984
1480	2097
1480	1407
1480	1433
1480	1010
1480	1976
1480	956
1480	2003
1480	1320
1480	1834
1480	1993
1480	872
1480	2002
992	406
1480	1002
1480	1908
1480	1691
1480	2031
1480	1067
1480	3605
1480	8061
1480	12915
1480	1944
1480	1719
1480	1625
1480	738
1480	14965
1480	3269
1480	397
1480	611
1480	173
1480	18637
1480	477
616	436
1480	160
1480	2295
1480	940
1480	4366
1480	632
1480	1857
1480	443
1480	1923
1480	1667
1480	2040
1480	7159
1480	784
1480	1986
1480	1978
1480	1985
1480	1140
1480	2204
1480	658
616	2262
192	167
1480	99
1480	1535
1480	2529
1480	710
1480	215
1480	1596
1480	1910
1480	2022
1480	2024
1480	2564
1480	29032
1480	16544
1480	1806
1480	11409
1480	2011
1480	1577
1480	1977
1480	9354
1480	3850
1480	411
1480	841
1480	1929
1480	3784
1480	1798
1480	2990
1480	998
1480	2005
1480	1985
1480	36248
1480	9193
1480	1544
1480	1979
1480	1281
1480	841
1480	2511
1480	1472
1480	1350
1480	5307
992	2552
1480	3790
1480	278
1480	6540
1480	2224
1480	6763
1480	2155
1480	2022
1480	31663
1480	2620
264	2011
1480	183
1480	457
1480	2287
1480	165
1480	609
1480	1868
1480	2222
1480	170
1480	949
1480	151
1480	1581
1480	5630
1368	18965
224	1335
1480	205
1480	1787
1480	1738
1480	103
1480	400
1480	1773
1480	2053
1480	2800
1480	703
1480	1486
1480	2794
1480	1212
1480	1022
1480	1945
1480	3145
1480	1797
1480	3122
1480	6307
1480	964
1480	1745
1480	2023
16	826
1480	171
1480	1965
