0	100	0	500
856	100	0	500
169	100	0	500
153	100	0	488
120	100	0	471
118	100	0	480
107	100	0	469
108	100	0	470
111	100	0	471
110	100	0	471
4591	100	0	500
174	100	0	500
162	100	0	474
139	100	0	495
137	100	0	489
135	100	0	474
115	100	0	488
158	100	0	500
120	100	0	491
125	100	0	470
992	100	0	500
128	100	0	478
118	100	0	472
117	100	0	481
108	100	0	471
129	100	0	497
104	100	0	471
109	100	0	470
112	100	0	470
145	100	0	477
523	100	0	500
90	100	0	462
109	100	0	499
105	100	0	469
121	100	0	485
141	100	0	480
108	100	0	474
108	100	0	473
139	100	0	481
489	100	0	500
977	100	0	500
127	100	0	500
112	100	0	468
131	100	0	499
114	100	0	477
233	100	0	500
136	100	0	484
131	100	0	478
138	100	0	484
128	100	0	475
904	100	0	500
105	100	0	478
115	100	0	472
125	100	0	470
112	100	0	469
112	100	0	469
109	100	0	468
112	100	0	500
6141	100	0	500
162	100	0	500
116	100	0	469
118	100	0	473
165	100	0	500
142	100	0	500
188	100	0	481
113	100	0	476
111	100	0	476
131	100	0	482
160	100	0	500
121	100	0	468
124	100	0	486
122	100	0	493
132	100	0	491
119	100	0	486
104	100	0	474
100	100	0	470
105	100	0	475
102	100	0	475
107	100	0	473
101	100	0	470
137	100	0	474
103	100	0	471
103	100	0	464
101	100	0	465
98	100	0	466
97	100	0	464
110	100	0	470
97	100	0	463
96	100	0	463
91	100	0	461
105	100	0	463
98	100	0	461
98	100	0	460
97	100	0	459
96	100	0	467
134	100	0	500
172	100	0	500
147	100	0	500
142	100	0	491
109	100	0	480
149	100	0	486
118	100	0	491
130	100	0	465
175	100	0	500
157	100	0	500
106	100	0	468
96	100	0	443
127	100	0	493
104	100	0	466
145	100	0	492
787	100	0	500
203	100	0	500
249	100	0	500
171	100	0	500
193	100	0	500
131	100	0	483
136	100	0	495
125	100	0	485
186	100	0	500
128	100	0	485
983	100	0	500
180	100	0	495
152	100	0	500
147	100	0	483
164	100	0	500
114	100	0	480
358	100	0	500
500	100	0	500
261	100	0	500
146	100	0	496
1008	100	0	500
160	100	0	500
125	100	0	483
